step,time,phase,load,energy,delta_energy,mass,mass_error,W_ext_step,W_ext_cumul,D_pred,D_inferred,snes_it,converged_reason
0,0.0,init,0.0,5.000598656413497e-13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
1,0.001,ramp,0.1,9.331960191629093e-05,9.331960141623107e-05,1.000084792869243,8.479286924290008e-05,8.535273361951548e-06,8.535273361951548e-06,1.8231509528312124e-08,-0.08478432805427952,2,2
2,0.002,ramp,0.2,9.324867274385732e-05,-7.09291724336063e-08,1.0000846878337715,8.468783377146849e-05,3.416257184229557e-08,8.569435933793843e-06,5.624149692453887e-08,0.00010509174427590187,1,2
3,0.003,ramp,0.3,0.00020321869204745354,0.00010997001930359622,1.0001691115760354,0.00016911157603538562,2.5554871879766924e-05,3.412430781356077e-05,1.0556219731080107e-07,-0.08441514742382929,2,2
4,0.004,ramp,0.4,0.0002032497831506244,3.1091103170851654e-08,1.000169006513903,0.00016900651390305832,1.3631764093894048e-07,3.426062545449971e-05,1.6426327304680358e-07,0.00010522653776808882,1,2
5,0.005,ramp,0.5,0.00032985949081898756,0.00012660970766836317,1.0002531180709364,0.00025311807093642,4.2506836157203544e-05,7.676746161170325e-05,2.2984627207586637e-07,-0.08410287151115961,2,2
6,0.006,ramp,0.6,0.0003300970828617349,2.375920427473378e-07,1.0002530499393483,0.000253049939348271,3.0602636731255516e-07,7.707348797901581e-05,3.0243070453248366e-07,6.843432456521736e-05,1,4
7,0.007,ramp,0.7,0.00047330639176178637,0.00014320930890005147,1.0003368764866274,0.000336876486627391,5.939156396659938e-05,0.00013646505194561518,3.801200626660182e-07,-0.08381774493345208,2,2
8,0.008,ramp,0.8,0.0004738375244659871,5.311327042007222e-07,1.0003368652729232,0.00033686527292320356,5.428106508636501e-07,0.00013700786259647884,4.6364369752103183e-07,1.1677946662927976e-05,1,2
9,0.009000000000000001,ramp,0.9,0.0006335966484340422,0.0001597591239680551,1.0004204237634098,0.00042042376340978294,7.620957370805109e-05,0.00021321743630452991,5.51244443220896e-07,-0.083549550260004,2,2
10,0.010000000000000002,ramp,1.0,0.0006345007329055631,9.040844715209545e-07,1.0004204822922735,0.0004204822922735385,8.462004930090659e-07,0.00021406363679753898,6.43963203641282e-07,-5.78839785118886e-05,1,2
11,0.011000000000000003,ramp,1.1,0.0008107519700479551,0.00017625123714239198,1.0005037814204492,0.0005037814204491564,9.296121009231496e-05,0.00030702484688985396,7.403560927303469e-07,-0.08329002705007701,1,2
12,0.012000000000000004,ramp,1.2,0.000812103558725416,1.3515886774608573e-06,1.0005039179967088,0.0005039179967087914,1.2158550416585892e-06,0.0003082407019315125,8.413031442128411e-07,-0.00013573363580226806,1,2
13,0.013000000000000005,ramp,1.3,0.0010047926560854555,0.00019268909736003953,1.0005869694907252,0.000586969490725231,0.00010964687677059632,0.00041788757870210884,9.450904511100373e-07,-0.0830422205894432,1,2
14,0.014000000000000005,ramp,1.4,0.001006664826062033,1.8721699765775028e-06,1.0005871914041358,0.0005871914041357673,1.6513114903850607e-06,0.0004195388901924939,1.0531220569927551e-06,-0.00022085848619244212,1,2
15,0.015000000000000006,ramp,1.5,0.0012157336065011424,0.00020906878043910936,1.0006700026349302,0.0006700026349302224,0.00012626700934125103,0.0005458058995337449,1.1636249338597235e-06,-0.08280177109785833,1,2
16,0.016000000000000007,ramp,1.6,0.0012181970837491364,2.46347724799402e-06,1.0006703152414083,0.0006703152414082592,2.15215120037466e-06,0.0005479580507341196,1.2781020790331147e-06,-0.00031132604761935985,1,2
17,0.017000000000000008,ramp,1.7,0.0014435863968118414,0.00022538931306270498,1.0007528921926727,0.0007528921926727161,0.00014282202054368505,0.0006907800712778046,1.3947439315239034e-06,-0.08256729251901994,1,2
18,0.01800000000000001,ramp,1.8,0.0014467104279203672,3.124031108525877e-06,1.0007532996698647,0.0007532996698647043,2.71807203057237e-06,0.000693498143308377,1.5151391643514516e-06,-0.0004059590779535068,2,2
19,0.01900000000000001,ramp,1.9,0.0016883602359840468,0.00024164980806367958,1.0008356472657525,0.0008356472657524705,0.00015931208170935567,0.0008528102250177326,1.6374414972931901e-06,-0.08233772635432392,1,2
20,0.02000000000000001,ramp,2.0,0.0016922134919396953,3.853255955648446e-06,1.0008361533892762,0.0008361533892762285,3.348899063266119e-06,0.0008561591240809987,1.7633196570371627e-06,-0.0005043568923823266,1,2
21,0.02100000000000001,ramp,2.1,0.0019500631849668454,0.0002578496930271501,1.000918275804941,0.0009182758049410822,0.00017573736858043598,0.0010318964926614347,1.890887014287007e-06,-0.08211232444671411,1,2
