step,time,phase,load,energy,delta_energy,mass,mass_error,W_ext_step,W_ext_cumul,D_pred,D_inferred,snes_it,converged_reason
0,0.0,init,0.0,0.9999999999985447,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
1,0.001,ramp,0.1,1.0003930997572124,0.0003930997586676366,1.0001871889924487,0.0001871889924487391,1.879169839713155e-05,1.879169839713155e-05,5.147772309612153e-05,-0.374308060270505,2,2
2,0.002,ramp,0.2,1.000395120716842,2.0209596296449917e-06,1.0001880955505718,0.0001880955505717541,2.795570313125685e-07,1.9071255428444117e-05,7.169517907387377e-05,-0.001741402598332423,2,2
3,0.003,ramp,0.3,1.0008245854004252,0.0004294646835831806,1.0003747319430072,0.00037473194300718937,5.6304877455958575e-05,7.537613288440269e-05,9.455143246049246e-05,-0.373159806127222,2,2
4,0.004,ramp,0.4,1.000827500293189,2.9148927638278366e-06,1.000375866651879,0.0003758666518789422,7.584013829805285e-07,7.613453426738322e-05,0.00011289694132018838,-0.002156491380847308,2,2
5,0.005,ramp,0.5,1.0012932719139114,0.0004657716207223661,1.0005619796086458,0.0005619796086457907,9.369331059111412e-05,0.00016982784485849734,0.00012922409792791916,-0.372078310131252,2,2
6,0.006,ramp,0.6,1.001297208570094,3.936656182590426e-06,1.0005633253960147,0.0005633253960146689,1.3893745417218132e-06,0.00017121721940021917,0.00014425751207476064,-0.0025472816408686123,2,2
7,0.007,ramp,0.7,1.0017991820765568,0.0005019735064628605,1.0007489286530922,0.0007489286530921735,0.00013094313532895479,0.000302160354729174,0.00015782202118433137,-0.3710303711339058,2,2
8,0.008,ramp,0.8,1.0018043132214849,5.131144928061104e-06,1.0007504949434554,0.0007504949434553598,2.1694122881889748e-06,0.000304329767017363,0.0001708081843830005,-0.0029617326398721296,2,2
9,0.009000000000000001,ramp,0.9,1.002342377372158,0.0005380641506731454,1.0009356016127253,0.000935601612725323,0.00016805176642625355,0.00047238153344361655,0.00018269585599096385,-0.37001238424689187,2,2
10,0.010000000000000002,ramp,1.0,1.002348872548094,6.495175935983255e-06,1.0009373981980965,0.0009373981980964619,3.096361011814604e-06,0.00047547789445543114,0.00019431256596084037,-0.003398814924168651,2,2
11,0.011000000000000003,ramp,1.1,1.0029229114162526,0.000574038868158544,1.0011220198214166,0.0011220198214165755,0.00020501885271342516,0.0006804967471688564,0.00020503744535528085,-0.3690200154451188,2,2
12,0.012000000000000004,ramp,1.2,1.0029309343772281,8.022960975573312e-06,1.0011240548552214,0.0011240548552213792,4.168602660045706e-06,0.0006846653498289021,0.00021566323689486657,-0.003854358315527606,2,2
13,0.013000000000000005,ramp,1.3,1.0035408283908622,0.0006098940136340936,1.0013082013675447,0.0013082013675447257,0.0002418446388644707,0.0009265099886933728,0.0002255218690978518,-0.36804937476962285,2,2
14,0.014000000000000005,ramp,1.4,1.003550537975784,9.709584921857584e-06,1.0013104814686067,0.0013104814686066835,5.384821231637905e-06,0.0009318948099250107,0.0002353898456970827,-0.004324763690219679,2,2
15,0.015000000000000006,ramp,1.5,1.0041961649404127,0.000645626964628665,1.0014941614649864,0.0014941614649863766,0.0002785296055852442,0.001210424415510255,0.00024457199087501167,-0.3670973590434208,2,2
16,0.016000000000000007,ramp,1.6,1.0042077160226615,1.1551082248706379e-05,1.0014966920171295,0.0014966920171295417,6.743866018855509e-06,0.0012171682815291106,0.00025383713180179477,-0.00480721622985087,2,2
17,0.017000000000000008,ramp,1.7,1.0048889519218633,0.0006812358992018819,1.0016799130246772,0.001679913024677182,0.000315074352068636,0.0015322426335977466,0.0002624727854700925,-0.3661615471332459,2,2
18,0.01800000000000001,ramp,1.8,1.0049024961350026,1.3544213139260464e-05,1.0016826984381264,0.0016826984381264065,8.244683566382549e-06,0.001540487317164129,0.0002712441448170558,-0.005299529572877915,2,2
19,0.01900000000000001,ramp,1.9,1.005619215718292,0.000716719583289338,1.0018654671352687,0.0018654671352686947,0.00035147954443121466,0.0018919668615953438,0.000279426891957749,-0.3652400388581234,2,2
20,0.02000000000000001,ramp,2.0,1.005634901986897,1.5686268605152875e-05,1.0018685110483565,0.0018685110483565026,9.886282461688907e-06,0.0019018531440570328,0.000287784578698858,-0.005799986143463968,2,2
21,0.02100000000000001,ramp,2.1,1.0063869791983242,0.0007520772114271157,1.0020508334326264,0.0020508334326263533,0.0003877458892041641,0.002289599033261197,0.00029558440243919346,-0.36433132222295156,2,2
22,0.022000000000000013,ramp,2.2,1.0064049541281725,1.7974929848341148e-05,1.002054138864209,0.002054138864209021,1.1667713602267806e-05,0.002301266746863465,0.0003035892732720077,-0.006307216246073342,2,2
23,0.023000000000000013,ramp,2.3,1.007192262422371,0.0007873082941984855,1.0022360203798786,0.0022360203798785783,0.00042387411841645706,0.002725140865279922,0.00031106010579101353,-0.3634341757820284,2,2
24,0.024000000000000014,ramp,2.4,1.0072126705913145,2.0408168943442107e-05,1.0022395898449834,0.002239589844983403,1.3588058298132287e-05,0.002738728923578054,0.00031875965527274226,-0.006820110645309819,2,2
25,0.025000000000000015,ramp,2.5,1.0080350831702296,0.0008224125789151326,1.0024210354807392,0.002421035480739242,0.00045986498064395096,0.003198593904222005,0.00032594408617029995,-0.36254759827118166,2,2
26,0.026000000000000016,ramp,2.6,1.0080580673493014,2.298417907176109e-05,1.0024248710791475,0.0024248710791474615,1.564642068446392e-05,0.003214240324906469,0.00033337620965731514,-0.00733775838729717,2,2
27,0.027000000000000017,ramp,2.7,1.0089154573426093,0.0008573899933079776,1.002605885443912,0.002605885443911937,0.0004957192353455247,0.0037099595602519938,0.00034030855758804447,-0.3616707579624529,2,2
28,0.028000000000000018,ramp,2.8,1.0089411586669808,2.5701324371407708e-05,1.002609988929089,0.0026099889290889244,1.7841922675989405e-05,0.003727801482927983,0.00034750405539610903,-0.007859401695418303,2,2
29,0.02900000000000002,ramp,2.9,1.0098333992714226,0.0008922406044418185,1.0027905763115548,0.002790576311554771,0.0005314376491147757,0.004259239132042758,0.0003542124479406501,-0.3608029553270429,2,2
30,0.03000000000000002,ramp,3.0,1.0098619573750351,2.8558103612574826e-05,1.0027949491449966,0.0027949491449965613,2.017370049981004e-05,0.0042794128325425685,0.0003611967493859168,-0.008384403112764787,2,2
31,0.03100000000000002,ramp,3.1,1.0107889219639157,0.00092696458888053,1.0029751135609681,0.0029751135609681345,0.0005670209931019359,0.004846433825644505,0.00036770457599823777,-0.35994359577859414,2,2
32,0.03200000000000002,ramp,3.2,1.0108204750870025,3.155312308678049e-05,1.002979756955621,0.002979756955620916,2.2640902252340152e-05,0.004869074727896845,0.0003744989609238292,-0.008912220834440336,2,2
33,0.03300000000000002,ramp,3.3,1.0117820372970174,0.0009615622100149768,1.0031595021861461,0.0031595021861461348,0.0006024700411736278,0.005471544769070473,0.00038082591520199026,-0.359092168841349,2,2
34,0.03400000000000002,ramp,3.4,1.0118167223734595,3.4685076442109164e-05,1.0031644171415417,0.0031644171415416977,2.524268615170112e-05,0.0054967874552221746,0.00038744840098571716,-0.009442390290408043,2,2
35,0.035000000000000024,ramp,3.5,1.0128127561742568,0.0009960338007972691,1.0033437467639357,0.0033437467639356733,0.000637785568542608,0.006134573023764783,0.00039361124565137206,-0.35824823225466107,2,2
36,0.036000000000000025,ramp,3.6,1.0128507089035192,3.795272926243598e-05,1.003348934094907,0.003348934094907108,2.7978219285215456e-05,0.006162551243049998,0.000400077245091135,-0.009974509977220524,2,2
37,0.037000000000000026,ramp,3.7,1.0138810886540968,0.0010303797505775147,1.0035278515083483,0.003527851508348334,0.0006729683506983995,0.006835519593748398,0.0004060903848306448,-0.35741139987911524,2,2
38,0.03800000000000003,ramp,3.8,1.0139224435611092,4.1354907012403075e-05,1.0035333118688432,0.003533311868843203,3.084667671857608e-05,0.006866366270466974,0.00041241320312505566,-0.010508230293826993,2,2
39,0.03900000000000003,ramp,3.9,1.0149870440556148,0.0010646004945056298,1.0037118203155093,0.0037118203155093177,0.0007080191625381437,0.007574385433005117,0.0004182891212713602,-0.3565813319674861,2,2
40,0.04000000000000003,ramp,4.0,1.0150319345416199,4.489048600508916e-05,1.0037175542184187,0.003717554218418684,3.3847240866777535e-05,0.007608232673871895,0.00042448033751260497,-0.011043245138311623,2,2
41,0.04100000000000003,ramp,4.1,1.0161306310468519,0.0010986965052319775,1.0038956568012574,0.0038956568012573634,0.0007429387776481291,0.008351171451520024,0.00043022993428399296,-0.3557577275838484,2,2
42,0.04200000000000003,ramp,4.2,1.0161791894327903,4.855838593842421e-05,1.003901664635183,0.003901664635183044,3.6979101041045356e-05,0.008388150552561069,0.0004362996984870762,-0.011579284897378852,2,2
43,0.04300000000000003,ramp,4.3,1.0173118577188724,0.0011326682860821613,1.0040793643328547,0.004079364332854718,0.0007777279677174853,0.009165878520278553,0.00044193255670671043,-0.354940318364676,2,2
44,0.04400000000000003,ramp,4.4,1.0173642152828632,5.235756399080138e-05,1.0040856463763468,0.004085646376346785,4.0241453103264994e-05,0.009206119973381818,0.00044788982409289064,-0.012116110887536388,2,2
45,0.04500000000000003,ramp,4.5,1.018530731648687,0.0011665163658236555,1.0042629460559334,0.004262946055933359,0.0008123875020766263,0.010018507475458445,0.00045341442052333357,-0.3541288637470292,2,2
46,0.046000000000000034,ramp,4.6,1.0185870186587302,5.6287010043343244e-05,1.00426950248964,0.004269502489639976,4.363349917619232e-05,0.010062140974634638,0.0004592671385443831,-0.012653510867150925,2,2
47,0.047000000000000035,ramp,4.7,1.0197872599530284,0.0012002412942981877,1.004446404917565,0.004446404917564983,0.0008469181473528187,0.010909059121987457,0.0004646910137765232,-0.353323146945369,2,2
48,0.048000000000000036,ramp,4.8,1.019847605695646,6.034574261759573e-05,1.0044532358346594,0.004453235834659397,4.715444733940142e-05,0.01095621356932686,0.0004704462727940089,-0.013191295278194314,2,2
49,0.04900000000000004,ramp,4.9,1.021081449334501,0.0012338436388550367,1.004629743686094,0.004629743686094034,0.0008813206673001352,0.011837534236626994,0.0004757761695742962,-0.3525229715549015,2,2
50,0.05000000000000004,ramp,5.0,1.021145982138933,6.453280443197151e-05,1.004636849101212,0.004636849101212093,5.0803510448687294e-05,0.011888337747075681,0.00048144031934375806,-0.01372929398328422,2,2
51,0.05100000000000004,ramp,5.1,1.0224133061229057,0.001267323983972668,1.004812964968567,0.0048129649685670906,0.0009155958242852502,0.01280393357136093,0.00048668230548967224,-0.3517281596874177,2,2
52,0.05200000000000004,ramp,5.2,1.0224821534855995,6.884736269374692e-05,1.0048203448328645,0.0048203448328645315,5.457999457733091e-05,0.012858513565938262,0.0004922616637720659,-0.01426736811641601,2,2
53,0.05300000000000004,ramp,5.3,1.023782836188816,0.0013006827032164825,1.004996071202216,0.0049960712022159015,0.0009497442154283142,0.013808257781366576,0.0004974202721764036,-0.35093848778816833,2,2
54,0.05400000000000004,ramp,5.4,1.023856124553796,7.328836498010638e-05,1.0050037254055602,0.0050037254055601554,5.84829802141816e-05,0.013866740761580757,0.000502918931400006,-0.01480538476592478,2,2
55,0.05500000000000004,ramp,5.5,1.0251900454843892,0.0013339209305931465,1.0051790647667376,0.005179064766737573,0.000983766978429124,0.014850507740009882,0.0005080012727662225,-0.3501539521640225,2,2
56,0.05600000000000004,ramp,5.6,1.0252679003242977,7.785483990851993e-05,1.005186993106545,0.005186993106544913,6.251169088149398e-05,0.014913019430891376,0.0005134241291609234,-0.015343149027025955,2,2
57,0.057000000000000044,ramp,5.7,1.0266349392380525,0.0013670389137547811,1.0053619478337084,0.005361947833708358,0.0010176646002699144,0.01593068403116129,0.0005184333456086861,-0.3493743134848667,2,2
58,0.058000000000000045,ramp,5.8,1.0267174852736165,8.254603556401285e-05,1.0053701500829075,0.005370150082907532,6.666543229898139e-05,0.01599734946346027,0.0005237850006752339,-0.015880603265031466,2,2
59,0.059000000000000045,ramp,5.9,1.0281175226043822,0.0014000373307656577,1.0055447224991225,0.005544722499122523,0.0010514378700504452,0.017048787333510715,0.0005287253048727985,-0.34859946071521253,2,2
60,0.060000000000000046,ramp,6.0,1.0282048836740185,8.736106963636026e-05,1.0055531983797898,0.005553198379789848,7.094343182485715e-05,0.017119730765335572,0.000534009633985223,-0.016417637811503103,2,2
61,0.06100000000000005,ramp,6.1,1.029637800488791,0.0014329168147724225,1.0057273907540178,0.005727390754017847,0.0010850875368105615,0.018204818302146132,0.0005388848148716197,-0.347829277961861,2,2
62,0.06200000000000005,ramp,6.2,1.0297300995741825,9.229908539154508e-05,1.005736139943776,0.005736139943776086,7.534492904853257e-05,0.018280163231194666,0.0005441053843328443,-0.016954156343012512,2,2
63,0.06300000000000004,ramp,6.3,1.0311957775762148,0.0014656780020323446,1.005909954494473,0.005909954494472958,0.001118614344803178,0.019398777575997846,0.0005489189060452616,-0.3470636572291666,2,2
64,0.06400000000000004,ramp,6.4,1.0312931368162215,9.735924000664475e-05,1.0059189766304897,0.005918976630489681,7.986916873898725e-05,0.019478646744736833,0.0005540789987051738,-0.017490071267657503,2,2
65,0.06500000000000004,ramp,6.5,1.0327914583489308,0.0014983215327093458,1.0060924155290456,0.006092415529045603,0.0011520190348389167,0.02063066577957575,0.0005588340462356123,-0.34630249787042905,2,2
66,0.06600000000000004,ramp,6.6,1.032893999051099,0.00010254070216819677,1.0061017102113852,0.0061017102113851696,8.451539999219109e-05,0.020715181179567943,0.0005639366890771786,-0.018025302176005686,2,2
67,0.06700000000000005,ramp,6.7,1.0344248471015915,0.0015308480504925281,1.0062747755851937,0.006274775585193737,0.0011853023445006132,0.021900483524068558,0.000568636200481201,-0.3455457059919149,2,2
68,0.06800000000000005,ramp,6.8,1.0345326897527987,0.0001078426512071129,1.0062843423799153,0.006284342379915264,8.928287598800307e-05,0.02198976640005656,0.0005736841906953482,-0.01855977521910982,2,2
69,0.06900000000000005,ramp,6.9,1.0360959479547398,0.0015632582019411423,1.006457036315251,0.0064570363152509636,0.001218465008172261,0.02320823140822882,0.000578330883385349,-0.3447931937688813,2,2
70,0.07000000000000005,ramp,7.0,1.0362092122309878,0.00011326427624802626,1.0064668747569654,0.006466874756965391,9.41708539008763e-05,0.023302402262129696,0.0005833268116702874,-0.019093422347149957,2,2
71,0.07100000000000005,ramp,7.1,1.0378047648669801,0.0015955526359923144,1.0066391993015287,0.0066391993015286754,0.0012515077570008,0.024553910019130498,0.0005879232048432891,-0.3440448789915145,2,2
72,0.07200000000000005,ramp,7.2,1.037923569642622,0.00011880477564174541,1.006649308895977,0.006649308895976924,9.917859487680464e-05,0.024653088614007303,0.0005928694759474096,-0.019626180764940767,2,2
73,0.07300000000000005,ramp,7.3,1.039551301645672,0.0016277320030502196,1.0068212660611273,0.006821266061127318,0.0012844313188230202,0.025937519932830323,0.000597417910030992,-0.34330068422719934,2,2
74,0.07400000000000005,ramp,7.4,1.039675765002256,0.0001244633565837816,1.0068316462873312,0.006831646287331239,0.00010430536404853622,0.02604182529687886,0.000602316760830146,-0.02015799253524539,2,2
75,0.07500000000000005,ramp,7.5,1.0413355619570668,0.0016597969548108882,1.0070032380502616,0.007003238050261595,0.001317236418074111,0.02735906171495297,0.0006068194144917799,-0.3425605367367772,2,2
76,0.07600000000000005,ramp,7.6,1.0414658011916555,0.0001302392345887693,1.0070138883625743,0.007013888362574328,0.0001095504305725988,0.027468612145525567,0.000611672929906499,-0.020688804016170497,2,2
77,0.07700000000000005,ramp,7.7,1.0431575493350582,0.0016917481434026715,1.0071851166681614,0.007185116668161351,0.0013499237756863344,0.0288185359212119,0.0006161318350184888,-0.3418243677163371,2,2
78,0.07800000000000006,ramp,7.8,1.0432936809683933,0.00013613163333503486,1.0071960364981314,0.007196036498131386,0.00011491306767991207,0.028933448988891813,0.0006209419620629923,-0.021218565655122798,2,2
79,0.07900000000000006,ramp,7.9,1.0450172671895706,0.0017235862211772979,1.0073669032606423,0.007366903260642266,0.0013824941089856427,0.030315943097877454,0.0006253590169330985,-0.34109211219165514,2,2
80,0.08000000000000006,ramp,8.0,1.045159406973827,0.00014213978425647866,1.0073780920187223,0.007378092018722304,0.00012039255273136809,0.030436335650608822,0.000630127577139845,-0.021747231525110572,2,2
81,0.08100000000000006,ramp,8.1,1.0469147188138168,0.0017553118399897816,1.0075485991233841,0.007548599123384125,0.0014149481315916387,0.03185128378220046,0.000634504558256323,-0.34036370839814284,2,2
82,0.08200000000000006,ramp,8.2,1.0470629818198105,0.00014826300599368736,1.0075600562087066,0.007560056208706589,0.00012598823012971333,0.03197727201233017,0.0006392334747770319,-0.02227477586397403,2,2
83,0.08300000000000006,ramp,8.3,1.0488499073208017,0.0017869255009912433,1.0077302054985449,0.007730205498544862,0.001447286432289559,0.03342455844461973,0.0006435717424719047,-0.3396390687016842,2,2
84,0.08400000000000006,ramp,8.4,1.0490044078598384,0.0001545005390366505,1.007741930289919,0.007741930289919097,0.0001316993849311889,0.03355625782955092,0.0006482625181793731,-0.022801154105461602,2,2
85,0.08500000000000006,ramp,8.5,1.0508228358489002,0.0018184279890618438,1.0079117235963913,0.007911723596391251,0.0014795098224536472,0.03503576765200457,0.0006525639157447609,-0.3389181666081965,2,2
86,0.08600000000000006,ramp,8.6,1.0509836874400367,0.000160851591136435,1.0079237154518925,0.007923715451892521,0.0001375252691273265,0.035173292921131895,0.0006572179656939379,-0.023326322009108478,2,2
87,0.08700000000000006,ramp,8.7,1.0528335073786548,0.0018498199386181025,1.0080931545791143,0.008093154579114303,0.0015116189940741446,0.03668491191520604,0.0006614839674678572,-0.3382009445439579,2,2
88,0.08800000000000006,ramp,8.8,1.0530008228049559,0.00016731542630110674,1.0081054128416755,0.008105412841675541,0.0001434651799482995,0.03682837709515434,0.0006661027053663897,-0.02385024635280725,2,2
89,0.08900000000000007,ramp,8.9,1.0548819247991288,0.0018811019941729068,1.0082744995695263,0.008274499569526306,0.0015436146428743033,0.03837199173802864,0.0006703346950454947,-0.3374873512986035,2,2
90,0.09000000000000007,ramp,9.0,1.05505581611286,0.00017389131373124478,1.008287023567784,0.008287023567784102,0.00014951841784319425,0.03852151015587183,0.0006749194569541539,-0.024372895888050528,2,2
91,0.09100000000000007,ramp,9.1,1.0569680909122052,0.0019122747993451927,1.0084557596531265,0.008455759653126504,0.0015754974612658043,0.04009700761713764,0.0006791187393877908,-0.33677733807938837,2,2
92,0.09200000000000007,ramp,9.2,1.0571486696475576,0.0001805787353523769,1.0084685487279754,0.008468548727975422,0.00015568444266944196,0.040252692059807076,0.0006836708274338859,-0.02489429268293493,2,2
93,0.09300000000000007,ramp,9.3,1.0590920082669792,0.0019433386194216418,1.0086369358722949,0.00863693587229486,0.001607267827632245,0.04185995988743932,0.000687838549755296,-0.3360707917893968,2,2
94,0.09400000000000007,ramp,9.4,1.0592793848517401,0.00018737658476086771,1.0086499892991139,0.00864998929911387,0.00016196228185346402,0.042021922169292784,0.0006923587127121035,-0.025414302907403694,2,2
95,0.09500000000000007,ramp,9.5,1.0612536799803802,0.0019742951286401134,1.0088180292741293,0.008818029274129335,0.0016389272785010585,0.043660849447793845,0.0006964967967706427,-0.3353678501390549,2,2
96,0.09600000000000007,ramp,9.6,1.061447964034486,0.00019428405410581995,1.0088313463242415,0.00883134632424154,0.00016835113750698788,0.043829200585300834,0.000700986418036811,-0.025932916598832068,2,2
97,0.09700000000000007,ramp,9.7,1.0634531083064132,0.002005144271927106,1.0089990408195575,0.008999040819557491,0.0016704759246743432,0.045499676509975176,0.0007050952117091845,-0.334668347252763,2,2
98,0.09800000000000007,ramp,9.8,1.0636544090428215,0.00020130073640833857,1.0090126207769556,0.009012620776955638,0.00017485057970109398,0.04567452708967627,0.0007095555736413446,-0.026450156707244585,2,2
