step,time,phase,load,energy,delta_energy,mass,mass_error,W_ext_step,W_ext_cumul,D_pred,D_inferred,snes_it,converged_reason
0,0.0,init,0.0,5.000598656413497e-13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
1,0.001,ramp,0.1,0.00019704412895304825,0.00019704412845298838,1.0001790961575803,0.00017909615758027186,1.7965915486781406e-05,1.7965915486781406e-05,1.2533890637669027e-08,-0.17907821296620696,2,2
2,0.002,ramp,0.2,0.0001971925457165326,1.4841676348434536e-07,1.0001791728537996,0.00017917285379964731,7.176011115268046e-08,1.8037675597934086e-05,3.947451823562788e-08,-7.66566523316649e-05,1,2
3,0.003,ramp,0.3,0.0004295033680192108,0.00023231082230267818,1.000357711133944,0.0003577111339438943,5.379047773296459e-05,7.182815333089867e-05,7.476846953229785e-08,-0.1785203445697136,2,2
4,0.004,ramp,0.4,0.0004300495310013834,5.46162982172603e-07,1.0003579710274315,0.000357971027431514,2.86387295763664e-07,7.211454062666233e-05,1.1747886291274847e-07,-0.00025977568640893903,1,4
5,0.005,ramp,0.5,0.000697542537070916,0.00026749300606953257,1.000536009268679,0.0005360092686790274,8.94727202247622e-05,0.00016158726085142454,1.6545632601981468e-07,-0.17802028584477037,2,2
6,0.006,ramp,0.6,0.0006986653174028549,1.1227803319389246e-06,1.0005364892666397,0.0005364892666397392,6.430022943873091e-07,0.00016223026314581183,2.1921941845169467e-07,-0.0004797780375516155,2,2
7,0.007,ramp,0.7,0.0010012269559132275,0.00030256163851037263,1.0007140554357834,0.0007140554357834006,0.00012501346582839196,0.00028724372897420377,2.769809114545067e-07,-0.17754817268198067,2,2
8,0.008,ramp,0.8,0.0010030872281697636,1.8602722565361218e-06,1.0007147753746757,0.0007147753746756802,1.1406743322716392e-06,0.0002883844033064754,3.3971684011162613e-07,-0.0007195979242644825,1,4
9,0.009000000000000001,ramp,0.9,0.0013405948402575654,0.0003375076120878018,1.0008918872955936,0.0008918872955936408,0.0001604137463285033,0.0004487981496349787,4.057081778501067e-07,-0.1770938657592985,2,2
10,0.010000000000000002,ramp,1.0,0.0013433449883069049,2.7501480493394292e-06,1.0008928593722275,0.0008928593722274947,1.7785495489182072e-06,0.0004505766991838969,4.7616708453692086e-07,-0.0009715985004212221,2,2
11,0.011000000000000003,ramp,1.1,0.001715671166113503,0.0003723261778065981,1.0010695295153023,0.0010695295153022588,0.000195674163929066,0.000646250863112963,5.493758697533874e-07,-0.17665201387753207,2,2
12,0.012000000000000004,ramp,1.2,0.0017194594161171724,3.788250003669471e-06,1.0010707625124329,0.0010707625124328768,2.55588234927601e-06,0.000648806745462239,6.267007097547142e-07,-0.0012323676543934607,2,2
13,0.013000000000000005,ramp,1.3,0.0021264749216869726,0.00040701550556980015,1.0012470005964837,0.0012470005964837494,0.00023079563849711624,0.0008796023839593551,7.064030203691178e-07,-0.17621986707268392,2,2
14,0.014000000000000005,ramp,1.4,0.0021314460716405138,4.971149953541219e-06,1.0012485007552907,0.0012485007552907046,3.47178483588034e-06,0.0008830741687952355,7.899587329043675e-07,-0.0014993651176608792,2,2
15,0.015000000000000006,ramp,1.5,0.002573020675241599,0.00044157460360108505,1.0014243146714716,0.0014243146714716381,0.00026577900478800707,0.0011488531735832424,8.756020580110246e-07,-0.17579559881307796,2,2
16,0.016000000000000007,ramp,1.6,0.0025793171218358264,6.296446594227564e-06,1.0014260866725975,0.0014260866725974708,4.525415177163086e-06,0.0011533785887604055,9.648935787640257e-07,-0.0017710314170644773,2,2
17,0.017000000000000008,ramp,1.7,0.0030553201961464717,0.00047600307431064533,1.00160148307143,0.0016014830714299322,0.000300625104871833,0.0014540036936322386,1.05603865825389e-06,-0.17537796943881231,2,2
18,0.01800000000000001,ramp,1.8,0.0030630826368313567,7.762440684884984e-06,1.0016035306336466,0.0016035306336465993,5.716034957971297e-06,0.0014597197285902098,1.1506659040432629e-06,-0.002046405726913687,2,2
19,0.01900000000000001,ramp,1.9,0.003573383162243382,0.0005103005254120255,1.0017785151557583,0.0017785151557583312,0.0003353345555793681,0.001795054284169578,1.246953058905521e-06,-0.1749659698326574,2,2
20,0.02000000000000001,ramp,2.0,0.0035827505533560728,9.367391112690554e-06,1.0017808410560594,0.0017808410560593568,7.042844556740528e-06,0.0018020971287263186,1.3465843534984705e-06,-0.0023245465559500263,2,2
21,0.02100000000000001,ramp,2.1,0.0041272179596610736,0.0005444674063050008,1.0019554187905864,0.0019554187905863607,0.0003699083571877311,0.0021720054859140497,1.44771130887447e-06,-0.1745590491172697,2,2
22,0.022000000000000013,ramp,2.2,0.004138328059215361,1.1110099554287496e-05,1.0019580253845084,0.0019580253845083995,8.50506597923093e-06,0.0021805105518932807,1.5520674292956802e-06,-0.0026050335750565663,1,2
23,0.023000000000000013,ramp,2.3,0.004716831662296348,0.0005785036030809872,1.002132200779138,0.002132200779138005,0.00040434703670059124,0.002584857588593872,1.6577770116971017e-06,-0.174156566380396,2,2
24,0.024000000000000014,ramp,2.4,0.004729820759944461,1.2989097648112395e-05,1.0021350897585553,0.002135089758555253,1.0101894676159511e-05,0.002594959483270031,1.7666162899409889e-06,-0.002887202971952884,1,2
25,0.025000000000000015,ramp,2.5,0.0053422307006502565,0.0006124099407057958,1.0023088669793396,0.00230886697933963,0.0004386517002491861,0.0030336111835192175,1.8766847205526109e-06,-0.17375824045660967,2,2
26,0.026000000000000016,ramp,2.6,0.005357233747447112,1.5003046796855865e-05,1.0023120396737828,0.0023120396737827953,1.1832353655938767e-05,0.003045443537175156,1.9897953675927264e-06,-0.003170693140917098,1,2
27,0.027000000000000017,ramp,2.7,0.006003420675842424,0.000646186928395312,1.0024854225651945,0.0024854225651944617,0.0004728231782237099,0.003518266715398866,2.1040259269189917e-06,-0.17336375017160208,2,2
28,0.028000000000000018,ramp,2.8,0.00602057149194749,1.715081610506597e-05,1.0024888800029672,0.0024888800029672087,1.369561287565514e-05,0.003531962328274521,2.221221735079738e-06,-0.003455203229410829,1,2
29,0.02900000000000002,ramp,2.9,0.006700406615773076,0.0006798351238255854,1.0026618721398963,0.0026618721398963263,0.0005068622975369898,0.004038824625811511,2.339440167581546e-06,-0.17297282628859556,2,2
30,0.03000000000000002,ramp,3.0,0.006719837945918306,1.943133014523004e-05,1.0026656150998812,0.002665615099881169,1.5690845977178108e-05,0.004054515471788689,2.460555359430067e-06,-0.003740484168051932,1,2
31,0.03100000000000002,ramp,3.1,0.00743319307104667,0.000713355125128364,1.0028382198316466,0.00283821983164656,0.000540769881537843,0.004595285353326531,2.5826057994366366e-06,-0.17258524359052096,2,2
32,0.03200000000000002,ramp,3.2,0.0074550366293854205,2.184355833875079e-05,1.0028422488844655,0.0028422488844654925,1.7817230337134578e-05,0.004613102583663666,2.7074915205611645e-06,-0.004026328001616212,1,2
33,0.03300000000000002,ramp,3.3,0.008201784190847241,0.0007467475614618205,1.0030144693695822,0.0030144693695821623,0.0005745467499264096,0.005187649333590076,2.833233466580496e-06,-0.17220081153541086,2,2
34,0.03400000000000002,ramp,3.4,0.008226170697249898,2.438650640265716e-05,1.0030187849101129,0.0030187849101128705,2.0073947140501735e-05,0.005207723280730578,2.9617550967969957e-06,-0.004312559262155425,1,2
35,0.035000000000000024,ramp,3.5,0.009006183783014692,0.0007800130857647941,1.0031906241438087,0.0031906241438086624,0.0006081937186477055,0.005815916999378283,3.0910610522932717e-06,-0.1718193671170886,2,2
36,0.036000000000000025,ramp,3.6,0.009033242992975449,2.705920996075653e-05,1.0031952264171884,0.0031952264171883904,2.2460181488221175e-05,0.0058383771808665046,3.2230960851998547e-06,-0.004599028472535355,1,2
37,0.037000000000000026,ramp,3.7,0.009846395362188985,0.0008131523692135358,1.0033666872535825,0.0033666872535824677,0.0006417115997490873,0.006480088780615591,3.3558496799554134e-06,-0.17144076946444844,2,2
38,0.03800000000000003,ramp,3.8,0.009876256091970091,2.9860729781106682e-05,1.0033715763763473,0.0033715763763473294,2.4975122550782992e-05,0.006505063903166374,3.4912860214865594e-06,-0.00488560723032369,1,2
39,0.03900000000000003,ramp,3.9,0.010722422188865545,0.0008461660968954541,1.003542661546463,0.0035426615464630995,0.0006751012011889845,0.007180165104355359,3.6273804927118217e-06,-0.17106489570646957,2,2
40,0.04000000000000003,ramp,4.0,0.010755212337081203,3.279014821565805e-05,1.0035478375238083,0.0035478375238082727,2.7617963779070707e-05,0.00720778306813443,3.7661150769896524e-06,-0.005172184436587344,1,2
41,0.04100000000000003,ramp,4.1,0.011634267301420285,0.0008790549643390815,1.0037185496503827,0.003718549650382652,0.0007083633265846467,0.007916146394719078,3.905452025637909e-06,-0.17069163775443472,2,2
42,0.04200000000000003,ramp,4.2,0.011670113867978199,3.584656655791427e-05,1.0037240123906017,0.0037240123906017164,3.0387903183539567e-05,0.007946534297902617,4.047389675598441e-06,-0.0054586633743746995,1,2
43,0.04300000000000003,ramp,4.3,0.012581933542632593,0.0009118196746543943,1.003894354000348,0.003894354000347988,0.0007414987748882106,0.008688033072790828,4.189878036747263e-06,-0.1703208997661837,2,2
44,0.04400000000000003,ramp,4.4,0.012620964028740328,3.903048610773459e-05,1.0039001035419506,0.0039001035419505836,3.328531073798654e-05,0.008721318383528815,4.334932404346438e-06,-0.005745175369748047,1,2
45,0.04500000000000003,ramp,4.5,0.013565422056973125,0.0009444580282327968,1.004070076552164,0.004070076552163959,0.0007745059556044095,0.009495824339133225,4.480486060889163e-06,-0.16995207262838727,2,2
46,0.046000000000000034,ramp,4.6,0.01360776344888364,4.234139191051575e-05,1.0040761129667983,0.004076112966798329,3.630963994299894e-05,0.009532133979076225,4.628573335387494e-06,-0.006031751967516809,1,2
47,0.047000000000000035,ramp,4.7,0.014584736661893624,0.0009769732130099837,1.0042457197033419,0.004245719703341866,0.0008073876480494059,0.01033952162712563,4.77711478816723e-06,-0.16958556496057775,2,2
48,0.048000000000000036,ramp,4.8,0.014630513802166564,4.5777140272939415e-05,1.0042520427129007,0.004252042712900694,3.9459095860900485e-05,0.010378980722986531,4.928158420122337e-06,-0.00631804441203893,1,2
49,0.04900000000000004,ramp,4.9,0.015639879723864672,0.0010093659216981084,1.004421285431475,0.004421285431474908,0.0008401446149508844,0.011219125337937416,5.079614011311725e-06,-0.16922130674722397,2,2
50,0.05000000000000004,ramp,5.0,0.01568921663481077,4.933691094609685e-05,1.004427894698772,0.004427894698771917,4.273291717930905e-05,0.011261858255116724,5.233542268742338e-06,-0.006603993766787804,1,2
51,0.05100000000000004,ramp,5.1,0.016730853485018987,0.0010416368502082184,1.0045967755919734,0.004596775591973357,0.00087277761517072,0.012134635870287444,5.387842912933526e-06,-0.1688592350374984,2,2
52,0.05200000000000004,ramp,5.2,0.016783873379064177,5.301989404518995e-05,1.0046036707272463,0.004603670727246323,4.613034644615789e-05,0.012180766216733602,5.544588446742711e-06,-0.0068895475990320585,1,2
